Circuit,N_in,Gates,Match%,Overest%,Reconv%,Area_OH%,Time_Dual_ms,Time_FD_ms,Speedup
iscas85-c1355,41,212,83.14,84.34,40.71,7194.34,0.1212,3.5454,29.26
iscas85-c17,5,8,87.50,93.75,23.08,1125.00,0.0079,0.0202,2.57
iscas85-c1908,33,276,91.75,97.00,41.75,7233.70,0.1558,3.7907,24.33
iscas85-c2670,233,844,80.64,98.72,20.52,54909.48,0.5617,75.5754,134.56
iscas85-c3540,50,1210,41.29,76.65,25.32,12466.94,0.6794,23.8940,35.17
iscas85-c432,36,274,50.90,79.37,33.23,7397.08,0.1942,3.8599,19.88
iscas85-c499,41,212,84.14,85.41,40.71,7194.34,0.1275,3.8081,29.86
iscas85-c5315,178,1651,76.91,96.95,23.35,41583.65,1.0990,117.5014,106.92
iscas85-c6288,32,1694,11.13,20.14,55.85,6371.66,0.9794,21.8071,22.26
iscas85-c7552,207,2074,69.29,89.66,31.43,44693.64,1.2873,170.4861,132.44
iscas85-c880,60,371,90.75,95.78,29.47,14781.67,0.2189,8.3456,38.12
